Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
C'est,3.86,4.0,0.14000000000000012,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,76.86,77.0
objet,3.56,3.86,0.2999999999999998,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,76.56,76.86
un,1.69,1.84,0.15000000000000013,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,74.69,74.84
plus,1.52,1.69,0.16999999999999993,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,74.52,74.69
non,1.44,1.52,0.08000000000000007,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,74.44,74.52
pas,1.21,1.44,0.22999999999999998,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,74.21,74.44
n'est,0.9,1.14,0.23999999999999988,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,73.9,74.14
Ce,0.82,0.9,0.08000000000000007,9_Adult1_AA-XA-EH,Adult1,AA-XA-EH,73.82,73.9
vivant,2.56,2.87,0.31000000000000005,9_Adult1_AA-ML-MP,Adult1,AA-ML-MP,91.56,91.87
ni,2.37,2.56,0.18999999999999995,9_Adult1_AA-ML-MP,Adult1,AA-ML-MP,91.37,91.56
animé,1.98,2.31,0.33000000000000007,9_Adult1_AA-ML-MP,Adult1,AA-ML-MP,90.98,91.31
pas,1.77,1.98,0.20999999999999996,9_Adult1_AA-ML-MP,Adult1,AA-ML-MP,90.77,90.98
c'est,1.63,1.77,0.14000000000000012,9_Adult1_AA-ML-MP,Adult1,AA-ML-MP,90.63,90.77
Non,1.36,1.63,0.2699999999999998,9_Adult1_AA-ML-MP,Adult1,AA-ML-MP,90.36,90.63
mieux,0.6,0.8,0.20000000000000007,9_Adult1_AA-MJ-CJ,Adult1,AA-MJ-CJ,71.6,71.8
c'est,0.44,0.6,0.15999999999999998,9_Adult1_AA-MJ-CJ,Adult1,AA-MJ-CJ,71.44,71.6
là,0.26,0.44,0.18,9_Adult1_AA-MJ-CJ,Adult1,AA-MJ-CJ,71.26,71.44
Et,0.16,0.26,0.1,9_Adult1_AA-MJ-CJ,Adult1,AA-MJ-CJ,71.16,71.26
Non,0.66,0.85,0.18999999999999995,9_Adult1_AA-MG-CH,Adult1,AA-MG-CH,123.66,123.85
accord,1.63,1.9,0.27,9_Adult1_AA-LD-BF,Adult1,AA-LD-BF,40.63,40.9
D,1.56,1.63,0.06999999999999984,9_Adult1_AA-LD-BF,Adult1,AA-LD-BF,40.56,40.63
T'as,1.62,1.82,0.19999999999999996,9_Adult1_AA-JL-AZ,Adult1,AA-JL-AZ,39.62,39.82
Oui,1.18,1.38,0.19999999999999996,9_Adult1_AA-JL-AZ,Adult1,AA-JL-AZ,39.18,39.38
sshhhh,1.34,2.06,0.72,9_Adult1_AA-AN-DL,Adult1,AA-AN-DL,79.34,80.06
Oui,1.03,1.34,0.31000000000000005,9_Adult1_AA-AN-DL,Adult1,AA-AN-DL,79.03,79.34
tablette,1.76,1.96,0.19999999999999996,99_Parent_CA-XA-LA,Parent,CA-XA-LA,775.76,775.96
La,0.17,0.23,0.06,99_Parent_CA-XA-LA,Parent,CA-XA-LA,774.17,774.23
quoi,4.79,5.1,0.3099999999999996,99_Parent_CA-RL-ML,Parent,CA-RL-ML,142.79,143.1
monde,4.455,4.79,0.33499999999999996,99_Parent_CA-RL-ML,Parent,CA-RL-ML,142.455,142.79
le,4.41,4.455,0.04499999999999993,99_Parent_CA-RL-ML,Parent,CA-RL-ML,142.41,142.455
tout,4.23,4.41,0.17999999999999972,99_Parent_CA-RL-ML,Parent,CA-RL-ML,142.23,142.41
pas,4.08,4.23,0.15000000000000036,99_Parent_CA-RL-ML,Parent,CA-RL-ML,142.08,142.23
pas,2.95,3.68,0.73,99_Parent_CA-RL-ML,Parent,CA-RL-ML,140.95,141.68
mais,2.19,2.85,0.6600000000000001,99_Parent_CA-RL-ML,Parent,CA-RL-ML,140.19,140.85
midi,1.765,2.19,0.42500000000000004,99_Parent_CA-RL-ML,Parent,CA-RL-ML,139.765,140.19
le,1.69,1.765,0.07499999999999996,99_Parent_CA-RL-ML,Parent,CA-RL-ML,139.69,139.765
aussi,1.43,1.69,0.26,99_Parent_CA-RL-ML,Parent,CA-RL-ML,139.43,139.69
servent,1.22,1.43,0.20999999999999996,99_Parent_CA-RL-ML,Parent,CA-RL-ML,139.22,139.43
s'en,1.04,1.22,0.17999999999999994,99_Parent_CA-RL-ML,Parent,CA-RL-ML,139.04,139.22
qui,0.94,1.04,0.10000000000000009,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.94,139.04
gens,0.78,0.94,0.15999999999999992,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.78,138.94
