UtteranceName,Speaker,Filename,Global_end,Global_start,Length,Speaker,UtteranceName,Word,syllables,Speech rate
62_Parent_CA-BO-IO,Parent,['CA-BO-IO'],638.33,630.11,4.6899999999999995,['Parent'],['62_Parent_CA-BO-IO'],18,22,2.6763990267639812
180_Child_CA-BO-IO,Child,['CA-BO-IO'],651.0,641.3,3.9800000000000004,['Child'],['180_Child_CA-BO-IO'],5,8,0.8247422680412333
63_Parent_CA-BO-IO,Parent,['CA-BO-IO'],650.16,648.69,1.4700000000000002,['Parent'],['63_Parent_CA-BO-IO'],5,8,5.442176870748619
64_Parent_CA-BO-IO,Parent,['CA-BO-IO'],651.69,651.33,0.3599999999999999,['Parent'],['64_Parent_CA-BO-IO'],2,4,11.11111111111069
65_Parent_CA-BO-IO,Parent,['CA-BO-IO'],654.62,653.35,1.18,['Parent'],['65_Parent_CA-BO-IO'],4,7,5.511811023622126
183_Child_CA-BO-IO,Child,['CA-BO-IO'],665.2,656.23,3.93,['Child'],['183_Child_CA-BO-IO'],10,15,1.6722408026755802
66_Parent_CA-BO-IO,Parent,['CA-BO-IO'],664.33,663.49,0.8400000000000001,['Parent'],['66_Parent_CA-BO-IO'],2,4,4.761904761904582
184_Child_CA-BO-IO,Child,['CA-BO-IO'],668.64,667.44,1.2000000000000002,['Child'],['184_Child_CA-BO-IO'],2,3,2.500000000000142
67_Parent_CA-BO-IO,Parent,['CA-BO-IO'],683.21,669.41,5.26,['Parent'],['67_Parent_CA-BO-IO'],15,19,1.3768115942028918
185_Child_CA-BO-IO,Child,['CA-BO-IO'],690.96,688.25,0.9299999999999998,['Child'],['185_Child_CA-BO-IO'],2,4,1.4760147601475817
69_Parent_CA-BO-IO,Parent,['CA-BO-IO'],696.58,692.58,2.789999999999999,['Parent'],['69_Parent_CA-BO-IO'],11,13,3.25
186_Child_CA-BO-IO,Child,['CA-BO-IO'],696.76,693.34,0.8300000000000001,['Child'],['186_Child_CA-BO-IO'],2,4,1.1695906432748677
70_Parent_CA-BO-IO,Parent,['CA-BO-IO'],704.12,701.65,2.3399999999999994,['Parent'],['70_Parent_CA-BO-IO'],12,13,5.263157894736784
